"","sample_id","lat","long"
"1","ACPL15_355045",10.6339426,124.77655792
"2","ACPL15_355265",10.6339426,124.77655792
"3","ACPL15_371560",10.6339426,124.77655792
"4","ACPL15_372649",10.6339426,124.77655792
"5","ACPL15_400899",10.65302467,124.78398132
"6","APCL15_001",10.74351978,124.78659058
"7","APCL15_002",10.87382317,124.7110672
"8","APCL15_003",10.87382317,124.7110672
"9","APCL15_004",10.87376118,124.71127319
"10","APCL15_005",10.87310314,124.71166229
"11","APCL15_011",10.87277889,124.71186066
"12","APCL15_012",10.87276936,124.71183777
"13","APCL15_013",10.87277222,124.71183777
"14","APCL15_014",10.87287807,124.7121582
"15","APCL15_015",10.87295628,124.71218872
"16","APCL15_016",10.87321663,124.71221161
"17","APCL15_017",10.87335014,124.71212769
"18","APCL15_018",10.87335014,124.71212769
"19","APCL15_019",10.87351036,124.7117691
"20","APCL15_020",10.87308693,124.71176147
"21","APCL15_021",10.87140369,124.71404266
"22","APCL15_022",10.87136459,124.7140274
"23","APCL15_023",10.87142086,124.71394348
"24","APCL15_024",10.87154865,124.71412659
"25","APCL15_025",10.87143517,124.71421814
"26","APCL15_026",10.8714056,124.71395874
"27","APCL15_027",10.87153339,124.71421814
"28","APCL15_028",10.87164974,124.71408081
"29","APCL15_029",10.87187672,124.71395874
"30","APCL15_030",10.87190819,124.71392059
"31","APCL15_031",10.87189102,124.71383667
"32","APCL15_032",10.8718338,124.71382141
"33","APCL15_033",10.87171555,124.71382904
"34","APCL15_034",10.87155247,124.71401215
"35","APCL15_035",10.87156582,124.71392822
"36","APCL15_036",10.8716259,124.71399689
"37","APCL15_037",10.87166882,124.71395111
"38","APCL15_038",10.87124538,124.71433258
"39","APCL15_039",10.87101555,124.71440887
"40","APCL15_040",10.870965,124.71447754
"41","APCL15_041",10.8708744,124.71450043
"42","APCL15_042",10.87030315,124.71505737
"43","APCL15_043",10.86978245,124.71588898
"44","APCL15_044",10.86966324,124.71588898
"45","APCL15_045",10.86963177,124.7159729
"46","APCL15_046",10.86889362,124.71663666
"47","APCL15_047",10.86886024,124.71665955
"48","APCL15_048",10.86883926,124.71647644
"49","APCL15_049",10.86898232,124.71643829
"50","APCL15_050",10.8689909,124.71646881
"51","APCL15_051",10.8690691,124.71643829
"52","APCL15_052",10.86912537,124.71634674
"53","APCL15_053",10.86922741,124.71634674
"54","APCL15_054",10.86937141,124.71640015
"55","APCL15_055",10.86948872,124.71630096
"56","APCL15_057",10.86189842,124.72091675
"57","APCL15_058",10.86186886,124.72116852
"58","APCL15_059",10.86183262,124.72122192
"59","APCL15_060",10.86181259,124.72122955
"60","APCL15_061",10.86180305,124.72123718
"61","APCL15_062",10.86147404,124.72133636
"62","APCL15_063",10.8615284,124.72149658
"63","APCL15_064",10.86158943,124.72135925
"64","APCL15_065",10.8615036,124.72142029
"65","APCL15_066",10.86145496,124.72151184
"66","APCL15_067",10.86136341,124.72154999
"67","APCL15_068",10.86125374,124.72158051
"68","APCL15_069",10.86118126,124.72161102
"69","APCL15_070",10.86118126,124.72161102
"70","APCL15_072",10.86089993,124.72190857
"71","APCL15_073",10.86093616,124.72189331
"72","APCL15_074",10.86093521,124.72189331
"73","APCL15_075",10.86104298,124.72189331
"74","APCL15_076",10.86099911,124.72193909
"75","APCL15_077",10.85547829,124.72615814
"76","APCL15_078",10.85547829,124.72615814
"77","APCL15_079",10.85536861,124.72621155
"78","APCL15_080",10.85531902,124.72625732
"79","APCL15_081",10.85531902,124.72625732
"80","APCL15_082",10.85531902,124.72625732
"81","APCL15_083",10.85531902,124.72625732
"82","APCL15_084",10.85531902,124.72625732
"83","APCL15_085",10.85536575,124.72663116
"84","APCL15_086",10.85542107,124.72705078
"85","APCL15_087",10.85521507,124.72725677
"86","APCL15_089",10.85504436,124.7276535
"87","APCL15_090",10.85501766,124.72766113
"88","APCL15_091",10.85481834,124.72769928
"89","APCL15_092",10.8548708,124.72754669
"90","APCL15_093",10.85511208,124.72738647
"91","APCL15_094",10.85511208,124.72738647
"92","APCL15_095",10.85507488,124.72728729
"93","APCL15_096",10.76821136,124.78417969
"94","APCL15_097",10.75513268,124.78508759
"95","APCL15_098",10.81210327,124.76425171
"96","APCL15_099",10.81083965,124.76468658
"97","APCL15_100",10.81083965,124.76468658
"98","APCL15_101",10.80922508,124.76528931
"99","APCL15_102",10.79948521,124.76831055
"100","APCL15_103",10.79887772,124.76863861
"101","APCL15_104",10.79874611,124.76860046
"102","APCL15_105",10.76916027,124.78359985
"103","APCL15_106",10.75326443,124.78443146
"104","APCL15_107",10.75327587,124.78443146
"105","APCL15_108",10.76455021,124.78543854
"106","APCL15_109",10.76447678,124.78540039
"107","APCL15_110",10.76437092,124.78527832
"108","APCL15_111",10.76423931,124.78529358
"109","APCL15_112",10.76420403,124.78530121
"110","APCL15_113",10.76407528,124.78523254
"111","APCL15_114",10.65373611,124.78385925
"112","APCL15_115",10.65384388,124.7838974
"113","APCL15_116",10.65392876,124.78395081
"114","APCL15_117",10.6407156,124.78526306
"115","APCL15_118",10.6407156,124.78526306
"116","APCL15_119",10.64066982,124.78411865
"117","APCL15_120",10.64108181,124.78295898
"118","APCL15_121",10.64095592,124.7828064
"119","APCL15_122",10.64108467,124.78265381
"120","APCL15_124",10.6521349,124.78424835
"121","APCL15_125",10.6520462,124.78392792
"122","APCL15_126",10.65205574,124.78383636
"123","APCL15_127",10.65205574,124.78383636
"124","APCL15_128",10.65189171,124.78291321
"125","APCL15_129",10.63241482,124.77687073
"126","APCL15_130",10.63242531,124.77687073
"127","APCL15_131",10.63254929,124.77671814
"128","APCL15_132",10.63274384,124.77671051
"129","APCL15_133",10.63275719,124.77677917
"130","APCL15_134",10.63275719,124.77677917
"131","APCL15_135",10.63268089,124.77689362
"132","APCL15_136",10.63285637,124.7769165
"133","APCL15_137",10.63330364,124.77687073
"134","APCL15_138",10.63349438,124.7767334
"135","APCL15_139",10.633358,124.77664948
"136","APCL15_140",10.633358,124.77664948
"137","APCL15_141",10.63361645,124.77680206
"138","APCL15_142",10.63361645,124.77680206
"139","APCL15_143",10.633708,124.77677917
"140","APCL15_144",10.63371944,124.77690887
"141","APCL15_145",10.63384056,124.77690125
"142","APCL15_147",10.63395214,124.77658081
"143","APCL15_148",10.63394356,124.7766037
"144","APCL15_149",10.63402271,124.77661896
"145","APCL15_150",10.63400936,124.77655029
"146","APCL15_151",10.63424587,124.77671051
"147","APCL15_152",10.63426018,124.7767868
"148","APCL15_153",10.63433838,124.77675629
"149","APCL15_154",10.63442802,124.77675629
"150","APCL15_155",10.6344471,124.77675629
"151","APCL15_156",10.63450718,124.77633667
"152","APCL15_157",10.63457108,124.77638245
"153","APCL15_158",10.63472366,124.77626038
"154","APCL15_159",10.63481236,124.77628326
"155","APCL15_160",10.87185574,124.71382904
"156","APCL15_351409",10.63385296,124.77671051
"157","APCL15_352991",10.86181831,124.72116852
"158","APCL15_353379",10.87135315,124.71421814
"159","APCL15_353383",10.86933136,124.71633911
"160","APCL15_353835",10.79841614,124.76866913
"161","APCL15_353914",10.8615036,124.72142029
"162","APCL15_353987",10.79904079,124.76849365
"163","APCL15_354053",10.6344347,124.77646637
"164","APCL15_354092",10.86099052,124.72189331
"165","APCL15_354107",10.86094093,124.72170258
"166","APCL15_354123",10.63388348,124.77668762
"167","APCL15_354185",10.63407421,124.77649689
"168","APCL15_354219",10.63450718,124.77633667
"169","APCL15_354247",10.81166363,124.76423645
"170","APCL15_354270",10.8615036,124.72142029
"171","APCL15_354281",10.76863194,124.7838974
"172","APCL15_354327",10.86095428,124.72177887
"173","APCL15_354358",10.64055538,124.78196716
"174","APCL15_354408",10.63427258,124.77677917
"175","APCL15_354420",10.86156845,124.72141266
