"","sample_id","lat","long"
"1","APCL16_001",10.6332674,124.7768631
"2","APCL16_002",10.63335037,124.77684784
"3","APCL16_003",10.63335037,124.77684784
"4","APCL16_004",10.63354969,124.77680206
"5","APCL16_005",10.63354969,124.77680206
"6","APCL16_006",10.63361549,124.77680206
"7","APCL16_007",10.63361549,124.77680206
"8","APCL16_008",10.63361549,124.77680206
"9","APCL16_009",10.63369274,124.77680206
"10","APCL16_010",10.63369274,124.77680206
"11","APCL16_011",10.63373375,124.7767868
"12","APCL16_012",10.63386726,124.77672577
"13","APCL16_013",10.63390064,124.77663422
"14","APCL16_014",10.63390064,124.77663422
"15","APCL16_015",10.63309288,124.77706146
"16","APCL16_016",10.63324833,124.77710724
"17","APCL16_017",10.63324833,124.77710724
"18","APCL16_018",10.63324833,124.77710724
"19","APCL16_019",10.63309479,124.77710724
"20","APCL16_020",10.63309479,124.77710724
"21","APCL16_021",10.63314342,124.77697754
"22","APCL16_022",10.63314342,124.77697754
"23","APCL16_023",10.63334274,124.77703857
"24","APCL16_024",10.63344002,124.77694702
"25","APCL16_025",10.63372803,124.7768631
"26","APCL16_026",10.63372803,124.7768631
"27","APCL16_027",10.6337328,124.77693939
"28","APCL16_028",10.63371944,124.77687073
"29","APCL16_029",10.63372231,124.77694702
"30","APCL16_030",10.63383675,124.77690125
"31","APCL16_031",10.87453079,124.71058655
"32","APCL16_032",10.87453079,124.71058655
"33","APCL16_033",10.87442684,124.71057129
"34","APCL16_034",10.87442684,124.71057129
"35","APCL16_035",10.87443924,124.71057129
"36","APCL16_036",10.87428856,124.71071625
"37","APCL16_037",10.87428856,124.71071625
"38","APCL16_038",10.8741827,124.71073151
"39","APCL16_039",10.8741827,124.71073151
"40","APCL16_040",10.87416935,124.71076965
"41","APCL16_041",10.87416935,124.71076965
"42","APCL16_042",10.87416935,124.71076965
"43","APCL16_043",10.8741827,124.71073151
"44","APCL16_044",10.87410641,124.71068573
"45","APCL16_045",10.87410641,124.71068573
"46","APCL16_046",10.87408638,124.7106781
"47","APCL16_047",10.87408638,124.7106781
"48","APCL16_048",10.8740406,124.71062469
"49","APCL16_049",10.87390614,124.71062469
"50","APCL16_050",10.87390614,124.71062469
"51","APCL16_051",10.8739357,124.71067047
"52","APCL16_052",10.87391758,124.71057129
"53","APCL16_053",10.87391758,124.71057129
"54","APCL16_054",10.87390614,124.71062469
"55","APCL16_055",10.87398434,124.710495
"56","APCL16_056",10.87398434,124.710495
"57","APCL16_057",10.87393856,124.71044159
"58","APCL16_058",10.87384605,124.7105484
"59","APCL16_059",10.87376881,124.71073151
"60","APCL16_060",10.87380791,124.71076202
"61","APCL16_061",10.87378216,124.71073151
"62","APCL16_062",10.87378216,124.71073151
"63","APCL16_063",10.87372684,124.71078491
"64","APCL16_065",10.87381935,124.71082306
"65","APCL16_066",10.87381935,124.71082306
"66","APCL16_067",10.87381935,124.71082306
"67","APCL16_068",10.87385559,124.71087646
"68","APCL16_069",10.87385559,124.71087646
"69","APCL16_070",10.87383938,124.71072388
"70","APCL16_071",10.87383938,124.71072388
"71","APCL16_072",10.87383938,124.71072388
"72","APCL16_073",10.87383938,124.71072388
"73","APCL16_074",10.87463856,124.71073914
"74","APCL16_075",10.87444019,124.7106781
"75","APCL16_076",10.87440491,124.71066284
"76","APCL16_077",10.87448025,124.71071625
"77","APCL16_078",10.87448025,124.71071625
"78","APCL16_079",10.8743639,124.71076965
"79","APCL16_080",10.87436581,124.71080017
"80","APCL16_081",10.87436581,124.71080017
"81","APCL16_082",10.87434006,124.71081543
"82","APCL16_083",10.87431145,124.71085358
"83","APCL16_084",10.87431145,124.71085358
"84","APCL16_085",10.87431717,124.71086884
"85","APCL16_086",10.87427711,124.71096039
"86","APCL16_087",10.87427711,124.71096039
"87","APCL16_088",10.87416267,124.71092987
"88","APCL16_089",10.87392807,124.71090698
"89","APCL16_090",10.87392807,124.71090698
"90","APCL16_091",10.87379265,124.71088409
"91","APCL16_092",10.87376499,124.71082306
"92","APCL16_093",10.87372398,124.71081543
"93","APCL16_094",10.87369919,124.71068573
"94","APCL16_095",10.873909,124.71079254
"95","APCL16_096",10.87385082,124.71107483
"96","APCL16_097",10.87375259,124.71112061
"97","APCL16_098",10.87375259,124.71112061
"98","APCL16_099",10.87377167,124.71121979
"99","APCL16_100",10.87377167,124.71121979
"100","APCL16_101",10.87376785,124.71139526
"101","APCL16_102",10.87371922,124.71107483
"102","APCL16_103",10.8735733,124.71112823
"103","APCL16_104",10.87350559,124.71103668
"104","APCL16_105",10.87353516,124.71105957
"105","APCL16_106",10.87353516,124.71105957
"106","APCL16_107",10.87368298,124.71147156
"107","APCL16_108",10.87368298,124.71147156
"108","APCL16_109",10.87354565,124.7116394
"109","APCL16_110",10.87350845,124.71180725
"110","APCL16_111",10.87350845,124.71180725
"111","APCL16_112",10.87310791,124.71201324
"112","APCL16_113",10.87354469,124.71214294
"113","APCL16_114",10.87354469,124.71214294
"114","APCL16_115",10.8735323,124.71200562
"115","APCL16_116",10.8735323,124.71200562
"116","APCL16_117",10.87344933,124.71207428
"117","APCL16_118",10.87330151,124.71218109
"118","APCL16_119",10.87330151,124.71218109
"119","APCL16_120",10.87327862,124.71218872
"120","APCL16_121",10.87329388,124.71221924
"121","APCL16_122",10.87329388,124.71221924
"122","APCL16_123",10.87335682,124.71222687
"123","APCL16_124",10.87325764,124.71215057
"124","APCL16_125",10.87322807,124.71205902
"125","APCL16_127",10.87309361,124.71220398
"126","APCL16_128",10.87309361,124.71220398
"127","APCL16_129",10.87306213,124.71218872
"128","APCL16_130",10.87308693,124.71216583
"129","APCL16_131",10.87308216,124.7121582
"130","APCL16_132",10.87295151,124.71220398
"131","APCL16_133",10.87298203,124.71213531
"132","APCL16_134",10.87290192,124.71218109
"133","APCL16_135",10.87290192,124.71218109
"134","APCL16_137",10.87296391,124.71213531
"135","APCL16_138",10.8555851,124.72689819
"136","APCL16_139",10.85539722,124.72685242
"137","APCL16_140",10.85515881,124.72741699
"138","APCL16_141",10.8550539,124.7276535
"139","APCL16_142",10.8550539,124.7276535
"140","APCL16_143",10.8550539,124.7276535
"141","APCL16_144",10.85499859,124.72758484
"142","APCL16_145",10.8549881,124.7275238
"143","APCL16_146",10.85486507,124.72756958
"144","APCL16_147",10.85486507,124.72756958
"145","APCL16_148",10.85486507,124.72756958
"146","APCL16_149",10.85499954,124.72766113
"147","APCL16_150",10.85493755,124.72768402
"148","APCL16_151",10.85493755,124.72768402
"149","APCL16_152",10.85483456,124.72770691
"150","APCL16_153",10.85483456,124.72770691
"151","APCL16_154",10.85490322,124.72771454
"152","APCL16_155",10.8549099,124.72766113
"153","APCL16_156",10.861413,124.72146606
"154","APCL16_157",10.861413,124.72146606
"155","APCL16_158",10.861413,124.72146606
"156","APCL16_159",10.86139011,124.72143555
"157","APCL16_160",10.86137581,124.72147369
"158","APCL16_161",10.8613596,124.72149658
"159","APCL16_162",10.83614254,124.74662781
"160","APCL16_163",10.83599281,124.74655151
"161","APCL16_164",10.83599281,124.74655151
"162","APCL16_165",10.64073944,124.78521729
"163","APCL16_166",10.64073944,124.78521729
"164","APCL16_167",10.64073944,124.78521729
"165","APCL16_168",10.64079475,124.78490448
"166","APCL16_169",10.64079475,124.78490448
"167","APCL16_170",10.64079475,124.78490448
"168","APCL16_171",10.64066696,124.78456879
"169","APCL16_172",10.64066315,124.78409576
"170","APCL16_173",10.64066315,124.78409576
"171","APCL16_174",10.64066315,124.78409576
"172","APCL16_175",10.64066696,124.78405762
"173","APCL16_176",10.64066696,124.78405762
"174","APCL16_177",10.64086914,124.78356171
"175","APCL16_178",10.64086914,124.78356171
"176","APCL16_179",10.64082336,124.78331757
"177","APCL16_180",10.64082336,124.78331757
"178","APCL16_181",10.65292645,124.78347015
"179","APCL16_182",10.65284443,124.7834549
"180","APCL16_183",10.65272617,124.78343201
"181","APCL16_184",10.65266418,124.78328705
"182","APCL16_185",10.6522522,124.78281403
"183","APCL16_186",10.6522522,124.78281403
"184","APCL16_187",10.65194607,124.78296661
"185","APCL16_188",10.65194607,124.78296661
"186","APCL16_189",10.65185356,124.78289032
"187","APCL16_190",10.65185356,124.78289032
"188","APCL16_191",10.65184116,124.78294373
"189","APCL16_192",10.65184116,124.78294373
"190","APCL16_193",10.72821617,124.79349518
"191","APCL16_194",10.72821617,124.79349518
"192","APCL16_195",10.72819328,124.79337311
"193","APCL16_196",10.72819328,124.79337311
"194","APCL16_197",10.72803974,124.79343414
"195","APCL16_198",10.72771168,124.79345703
"196","APCL16_199",10.72771168,124.79345703
"197","APCL16_200",10.72771168,124.79345703
"198","APCL16_201",10.76938248,124.78347778
"199","APCL16_202",10.76938248,124.78347778
"200","APCL16_203",10.76935196,124.78344727
"201","APCL16_204",10.76935196,124.78344727
"202","APCL16_205",10.76921749,124.78354645
"203","APCL16_206",10.76921749,124.78354645
"204","APCL16_207",10.76919174,124.78360748
"205","APCL16_208",10.76908016,124.78376007
"206","APCL16_209",10.76908016,124.78376007
"207","APCL16_210",10.76891994,124.78379059
"208","APCL16_211",10.76891994,124.78379059
"209","APCL16_212",10.76904106,124.78354645
"210","APCL16_215",10.76856518,124.78395844
"211","APCL16_216",10.87147236,124.71424866
"212","APCL16_217",10.87147236,124.71424866
"213","APCL16_218",10.87147236,124.71424866
"214","APCL16_221",10.87151623,124.71424866
"215","APCL16_222",10.87154675,124.71425629
"216","APCL16_223",10.87152672,124.71421814
"217","APCL16_224",10.87151814,124.71413422
"218","APCL16_225",10.87151814,124.71413422
"219","APCL16_226",10.87158871,124.71417999
"220","APCL16_227",10.87158871,124.71417999
"221","APCL16_228",10.87152672,124.71424866
"222","APCL16_229",10.87153244,124.7142334
"223","APCL16_230",10.87152386,124.71431732
"224","APCL16_231",10.87155819,124.71411896
"225","APCL16_232",10.87155819,124.71411896
"226","APCL16_233",10.87154865,124.71413422
"227","APCL16_234",10.87154865,124.71413422
"228","APCL16_235",10.87153149,124.71405029
"229","APCL16_236",10.87153149,124.71405029
"230","APCL16_237",10.87153244,124.71405792
"231","APCL16_238",10.87160492,124.71408844
"232","APCL16_239",10.87160492,124.71408844
"233","APCL16_240",10.87160492,124.71408844
"234","APCL16_241",10.87147427,124.71408844
"235","APCL16_242",10.87147427,124.71408844
"236","APCL16_243",10.87143612,124.71417999
"237","APCL16_244",10.87149143,124.71412659
"238","APCL16_245",10.87149143,124.71412659
"239","APCL16_246",10.87144184,124.71408081
"240","APCL16_247",10.87144184,124.71408081
"241","APCL16_248",10.87144184,124.71408081
"242","APCL16_249",10.87144184,124.71408081
"243","APCL16_250",10.87144184,124.71408081
"244","APCL16_251",10.87144184,124.71408081
"245","APCL16_252",10.87137985,124.71408844
"246","APCL16_253",10.87135029,124.713974
"247","APCL16_254",10.87134743,124.71400452
"248","APCL16_255",10.87134743,124.71400452
"249","APCL16_256",10.87134743,124.71400452
"250","APCL16_257",10.87147236,124.71389008
"251","APCL16_258",10.87147236,124.71389008
"252","APCL16_259",10.87147236,124.71389008
"253","APCL16_260",10.87147236,124.71389008
"254","APCL16_261",10.87147236,124.71389008
"255","APCL16_262",10.87147236,124.71389008
"256","APCL16_263",10.87147236,124.71389008
"257","APCL16_264",10.80920124,124.76532745
"258","APCL16_265",10.80920124,124.76532745
"259","APCL16_266",10.80913448,124.76525116
"260","APCL16_267",10.80913448,124.76525116
"261","APCL16_268",10.80980778,124.76504517
"262","APCL16_269",10.80980778,124.76504517
"263","APCL16_270",10.8107233,124.76480865
"264","APCL16_271",10.8107233,124.76480865
"265","APCL16_272",10.810853,124.76469421
"266","APCL16_273",10.810853,124.76469421
"267","APCL16_274",10.81152534,124.76441193
"268","APCL16_275",10.81152534,124.76441193
"269","APCL16_276",10.81122589,124.76454163
"270","APCL16_277",10.81117535,124.76461792
"271","APCL16_278",10.79990673,124.76794434
"272","APCL16_279",10.79984665,124.76812744
"273","APCL16_280",10.79984665,124.76812744
"274","APCL16_281",10.79952621,124.76829529
"275","APCL16_282",10.79952621,124.76829529
"276","APCL16_283",10.79894733,124.76867676
"277","APCL16_284",10.79894733,124.76867676
"278","APCL16_285",10.79855061,124.7686615
"279","APCL16_286",10.79855061,124.7686615
"280","APCL16_287",10.79855061,124.7686615
"281","APCL16_288",10.79855061,124.7686615
"282","APCL16_290",10.74379158,124.78652191
"283","APCL16_291",10.74379158,124.78652191
"284","APCL16_292",10.74379158,124.78652191
"285","APCL16_293",10.74359322,124.78649139
"286","APCL16_294",10.74350071,124.78658295
"287","APCL16_295",10.74364662,124.78675842
"288","APCL16_296",10.74364662,124.78675842
"289","APCL16_297",10.74359608,124.78691864
"290","APCL16_298",10.79855061,124.7686615
"291","APCL16_299",10.74293327,124.78722382
"292","APCL16_300",10.76456261,124.78541565
"293","APCL16_301",10.76444054,124.78530884
"294","APCL16_302",10.76444054,124.78530884
"295","APCL16_303",10.76444149,124.78536224
"296","APCL16_304",10.76444149,124.78536224
"297","APCL16_305",10.76420498,124.78530121
"298","APCL16_306",10.76390648,124.78513336
"299","APCL16_307",10.76390648,124.78513336
"300","APCL16_308",10.75626659,124.78562927
"301","APCL16_309",10.75626659,124.78562927
"302","APCL16_310",10.7564373,124.78582764
"303","APCL16_311",10.75648117,124.78578949
"304","APCL16_312",10.75648117,124.78578949
"305","APCL16_313",10.75654888,124.78588867
"306","APCL16_314",10.75654888,124.78588867
"307","APCL16_315",10.75583839,124.78540039
"308","APCL16_316",10.75583839,124.78540039
"309","APCL16_317",10.86181164,124.72100067
"310","APCL16_318",10.86181164,124.72100067
"311","APCL16_319",10.86181164,124.72100067
"312","APCL16_320",10.86181164,124.72100067
"313","APCL16_321",10.86181164,124.72100067
"314","APCL16_322",10.86181164,124.72100067
"315","APCL16_323",10.86181164,124.72100067
"316","APCL16_324",10.86181164,124.72100067
"317","APCL16_325",10.86181164,124.72100067
"318","APCL16_326",10.86181164,124.72100067
"319","APCL16_327",10.86181164,124.72100067
"320","APCL16_328",10.86181164,124.72100067
"321","APCL16_329",10.86180496,124.72101593
"322","APCL16_330",10.86180496,124.72101593
"323","APCL16_331",10.86180496,124.72101593
"324","APCL16_332",10.86189556,124.72108459
"325","APCL16_333",10.86182499,124.72108459
"326","APCL16_334",10.86179733,124.72114563
"327","APCL16_335",10.86179733,124.72114563
"328","APCL16_336",10.86185169,124.72112274
"329","APCL16_338",10.86182404,124.72119904
"330","APCL16_339",10.86182404,124.72119904
"331","APCL16_340",10.86182404,124.72119904
"332","APCL16_341",10.86182404,124.72119904
"333","APCL16_342",10.86182404,124.72119904
"334","APCL16_343",10.86182976,124.72119141
"335","APCL16_344",10.86182976,124.72119141
"336","APCL16_345",10.7551651,124.78522491
"337","APCL16_346",10.7551651,124.78522491
"338","APCL16_347",10.75327301,124.78440857
"339","APCL16_348",10.75327301,124.78440857
"340","APCL16_349",10.75327301,124.78440857
"341","APCL16_350",10.86184406,124.72121429
"342","APCL16_351",10.86186314,124.72120667
"343","APCL16_352",10.86186314,124.72120667
"344","APCL16_353",10.86186314,124.72120667
"345","APCL16_354",10.86186314,124.72120667
"346","APCL16_355",10.86186314,124.72120667
"347","APCL16_356",10.86186314,124.72120667
"348","APCL16_357",10.86186314,124.72120667
"349","APCL16_358",10.86186314,124.72120667
"350","APCL16_359",10.86186314,124.72120667
"351","APCL16_360",10.86186314,124.72120667
"352","APCL16_361",10.86186314,124.72120667
"353","APCL16_362",10.86186314,124.72120667
"354","APCL16_363",10.86186314,124.72120667
"355","APCL16_364",10.86186314,124.72120667
